route_id,direction_id,stop_sequence,trip_id,stop_id,departure_time,traversal_time_sec,stop_lat,stop_lon,lat_prev,lon_prev,length_m
1,1,56,10775020,21362,20107.0,187.0,40.506549,-79.851641,40.526393,-79.851014,2207.1917093412744
1,1,57,10775020,3183,20184.0,77.0,40.49957,-79.852991,40.506549,-79.851641,784.3798133002392
1,1,58,10775020,3185,20204.0,20.0,40.498219,-79.854585,40.49957,-79.852991,201.82457784576684
1,1,59,10775020,3186,20220.0,16.0,40.49728,-79.855794,40.498219,-79.854585,146.1251842347658
1,1,60,10775020,3187,20246.0,26.0,40.496346,-79.857063,40.49728,-79.855794,149.33226312861765
1,1,61,10775020,3188,20289.0,43.0,40.494728,-79.85936,40.496346,-79.857063,264.75465105918846
1,1,62,10775020,3189,20316.0,27.0,40.494002,-79.860896,40.494728,-79.85936,152.92824350178384
1,1,63,10775020,3190,20350.0,34.0,40.492969,-79.862948,40.494002,-79.860896,208.09420830161912
1,1,64,10775020,3191,20383.0,33.0,40.492051,-79.864863,40.492969,-79.862948,191.42517629493813
1,1,65,10775020,3192,20400.0,17.0,40.491591,-79.865783,40.492051,-79.864863,93.10703725162118
1,1,66,10775020,3195,20531.0,131.0,40.489329,-79.875036,40.491591,-79.865783,821.9154589400156
1,1,67,10775020,3196,20558.0,27.0,40.488955,-79.876906,40.489329,-79.875036,163.5172138963729
1,1,68,10775020,3197,20591.0,33.0,40.488158,-79.879419,40.488955,-79.876906,230.2569167398597
1,1,69,10775020,3198,20610.0,19.0,40.48787,-79.880675,40.488158,-79.879419,110.94062502935014
1,1,70,10775020,17356,20658.0,48.0,40.4874,-79.884395,40.48787,-79.880675,318.9080224527912
1,1,71,10775020,17355,20675.0,17.0,40.487273,-79.885363,40.4874,-79.884395,83.07225136720747
1,1,72,10775020,9329,20693.0,18.0,40.487113,-79.886433,40.487273,-79.885363,92.22180397110837
1,1,73,10775020,22177,20731.0,38.0,40.487859,-79.888488,40.487113,-79.886433,192.57154830895053
1,1,74,10775020,21328,20777.0,46.0,40.488814,-79.891879,40.487859,-79.888488,305.80039024318035
1,1,75,10775020,3203,20820.0,43.0,40.487701,-79.893956,40.488814,-79.891879,214.86936712309438
1,1,76,10775020,3204,20889.0,69.0,40.488036,-79.897999,40.487701,-79.893956,343.9344077342681
1,1,77,10775020,3205,20916.0,27.0,40.488464,-79.899564,40.488036,-79.897999,140.64592170700985
1,1,78,10775020,3206,20940.0,24.0,40.488856,-79.900961,40.488464,-79.899564,125.92564384338594
1,1,79,10775020,3207,20965.0,25.0,40.48945,-79.903171,40.488856,-79.900961,198.22126070587152
